id,first_name,last_name,full_name,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
104,Stephen,Patton,Stephen Patton,90,80,63,94,64,70,79
105,Emma,Wright,Emma Wright,65,60,100,91,87,78,99
106,Cynthia,Brown,Cynthia Brown,98,97,62,89,62,95,77
107,Erin,Kelley,Erin Kelley,91,80,97,89,94,95,84
108,Benjamin,Morse,Benjamin Morse,86,81,83,81,81,77,86
109,Alexandra,Gibson,Alexandra Gibson,91,93,72,61,61,87,95
110,Phillip,Allen,Phillip Allen,78,69,82,60,64,77,82
111,Joshua,Gonzalez,Joshua Gonzalez,76,89,89,83,89,90,64
112,Erin,Jones,Erin Jones,82,54,85,57,50,54,76
113,Charles,Hayes,Charles Hayes,45,85,94,76,57,93,86
114,Kelsey,Brown,Kelsey Brown,92,75,65,97,61,76,81
115,Robert,Turner,Robert Turner,43,65,91,75,64,94,100
116,Robert,Hill,Robert Hill,96,66,69,65,72,84,77
117,Alyssa,Ritter,Alyssa Ritter,78,71,50,55,54,97,95
118,Beth,Bell,Beth Bell,68,96,64,70,74,63,75
119,Andrew,Dixon,Andrew Dixon,93,73,94,65,60,63,93
120,Crystal,Walker,Crystal Walker,55,93,67,74,55,60,64
121,Jordan,Bennett,Jordan Bennett,66,90,83,80,76,90,91
122,Antonio,Caldwell,Antonio Caldwell,98,92,91,99,97,88,75
123,Jacob,Reyes,Jacob Reyes,94,94,94,89,85,86,85
124,Wendy,Lewis,Wendy Lewis,96,100,96,91,91,96,89
125,Jennifer,Miller,Jennifer Miller,69,62,82,89,81,72,71
126,Lisa,Ware,Lisa Ware,77,95,98,69,60,89,71
127,Brian,Lee,Brian Lee,89,67,86,87,87,68,78
128,Mario,Taylor,Mario Taylor,96,67,80,83,86,77,75
129,Amanda,Williamson,Amanda Williamson,82,70,80,70,96,69,86
130,Michael,Miller,Michael Miller,99,97,64,90,87,68,69
131,Amanda,Vasquez,Amanda Vasquez,96,73,90,85,63,84,87
132,Chelsea,Obrien,Chelsea Obrien,95,82,66,63,67,92,69
133,Tina,Perkins,Tina Perkins,90,63,69,80,99,69,79
134,Cory,Perez,Cory Perez,88,52,53,56,85,93,78
135,Christopher,Jenkins,Christopher Jenkins,87,62,87,96,85,90,74
136,Joanne,Campos,Joanne Campos,62,83,84,75,83,85,86
137,David,Patel,David Patel,85,65,60,78,81,96,76
138,Michelle,Hill,Michelle Hill,79,97,76,67,61,90,95
139,Jessica,Boyd,Jessica Boyd,90,94,98,96,68,82,81
140,Lawrence,Russell,Lawrence Russell,97,71,82,80,97,93,78
141,James,Singh,James Singh,88,69,87,81,77,67,93
142,Marc,Villanueva,Marc Villanueva,71,85,77,89,98,63,100
143,Cathy,Wilson,Cathy Wilson,70,99,79,96,60,97,100
144,Adam,Mitchell,Adam Mitchell,93,68,76,99,80,80,75
145,Sherry,Phillips,Sherry Phillips,92,79,81,61,86,72,88
146,Victor,Jones,Victor Jones,83,72,68,94,100,98,92
147,Mark,Young,Mark Young,68,97,51,93,68,58,78
148,Matthew,Jackson,Matthew Jackson,92,90,65,79,96,87,74
149,Tanya,Nichols,Tanya Nichols,69,91,82,99,94,75,74
150,Julie,Gray,Julie Gray,76,72,72,65,82,71,93
151,Courtney,Perry,Courtney Perry,86,92,79,73,73,61,60
152,Stephen,Rodriguez,Stephen Rodriguez,41,57,97,56,50,98,83
153,Elizabeth,Robinson,Elizabeth Robinson,91,100,84,72,84,90,82
154,William,Graves,William Graves,78,67,82,70,65,68,81
155,Nancy,Moore,Nancy Moore,89,73,85,84,73,81,98
156,Matthew,Newman,Matthew Newman,96,71,88,74,80,92,65
157,Anita,Moore,Anita Moore,66,99,85,90,76,64,95
158,Brian,Sanchez,Brian Sanchez,97,54,62,66,58,69,96
159,Dennis,Phillips,Dennis Phillips,49,64,97,61,62,72,65
160,Michael,Rivas,Michael Rivas,88,66,96,82,65,76,79
161,Ryan,Smith,Ryan Smith,92,64,77,61,76,72,87
162,Anthony,Sullivan,Anthony Sullivan,96,66,92,88,65,76,72
163,Troy,Shepherd,Troy Shepherd,86,88,99,79,93,97,91
164,Nicholas,Clayton,Nicholas Clayton,86,100,100,96,95,97,93
165,Denise,Schneider,Denise Schneider,88,72,96,60,90,80,88
166,Lisa,Silva,Lisa Silva,92,81,99,98,77,80,73
167,Laura,Reilly,Laura Reilly,87,76,71,65,64,81,61
168,Amy,Peterson,Amy Peterson,89,94,67,68,69,92,76
169,Fernando,Sexton,Fernando Sexton,97,96,66,96,71,97,66
170,Evan,Christian,Evan Christian,100,62,67,97,73,84,99
171,Rebecca,Norris,Rebecca Norris,91,98,76,99,65,98,71
172,Erica,Marks,Erica Marks,81,87,65,85,74,64,81
173,Rhonda,Webster,Rhonda Webster,82,66,89,76,68,83,79
174,John,Bennett,John Bennett,100,96,75,68,77,97,81
175,Amanda,Murphy,Amanda Murphy,65,100,80,83,57,81,81
176,Jeremy,Barnes,Jeremy Barnes,68,100,89,75,84,78,90
177,John,Brown,John Brown,97,92,95,75,95,90,83
178,Traci,Boyd,Traci Boyd,76,94,77,88,85,91,61
179,Elizabeth,Butler,Elizabeth Butler,91,99,94,94,95,98,89
180,Alex,Clark,Alex Clark,85,73,89,73,97,66,79
181,Christopher,Wolfe,Christopher Wolfe,68,69,86,87,72,80,93
182,Jason,Bell,Jason Bell,73,99,75,70,100,86,62
183,Victoria,Donaldson,Victoria Donaldson,65,90,75,96,91,93,85
184,Logan,Cox,Logan Cox,46,79,75,86,91,88,77
185,Rachel,Hill,Rachel Hill,92,84,85,77,81,69,95
186,Jenny,Lloyd,Jenny Lloyd,69,78,69,70,100,88,85
187,Joan,Cohen,Joan Cohen,78,99,64,99,65,84,80
188,Kimberly,Lopez,Kimberly Lopez,92,62,86,97,54,76,76
189,Steven,Walker,Steven Walker,70,77,91,96,100,89,67
190,Sonia,Bowers,Sonia Bowers,95,79,98,95,89,99,87
191,Penny,Perez,Penny Perez,99,82,93,83,92,90,60
192,Mike,Harris,Mike Harris,96,66,79,80,88,61,85
193,Vanessa,Sweeney,Vanessa Sweeney,85,90,85,74,96,71,80
194,Adam,Edwards,Adam Edwards,91,94,82,100,68,66,69
195,Angelica,Johnson,Angelica Johnson,85,64,93,80,82,70,94
196,Tiffany,Hernandez,Tiffany Hernandez,94,73,61,68,65,85,67
197,Mark,Myers,Mark Myers,95,69,62,87,84,83,64
198,Erica,Cochran,Erica Cochran,69,90,83,70,83,91,67
199,Karen,Watson,Karen Watson,95,72,94,96,91,61,94
200,Kathryn,Frazier,Kathryn Frazier,94,88,65,88,60,81,78
201,Anthony,Jackson,Anthony Jackson,82,81,100,81,60,79,96
202,Jordan,Perez,Jordan Perez,99,73,91,91,93,80,100
203,Jennifer,Burgess,Jennifer Burgess,85,62,84,80,37,80,71
204,Christina,Davis,Christina Davis,100,87,60,92,46,67,96
205,April,Ryan,April Ryan,98,95,90,81,82,86,98
206,Maxwell,Davis,Maxwell Davis,97,78,81,67,90,95,79
207,Matthew,Guzman,Matthew Guzman,99,86,68,94,97,77,92
208,Robert,Mayer,Robert Mayer,99,73,77,74,62,68,99
209,Amanda,Willis,Amanda Willis,75,83,70,71,86,95,76
210,Michele,Thomas,Michele Thomas,63,80,99,78,60,84,86
211,Tim,Turner,Tim Turner,96,88,90,100,94,87,96
212,Joe,Strickland,Joe Strickland,91,73,86,73,84,60,71
213,Trevor,Cruz,Trevor Cruz,52,58,60,97,93,89,68
214,Melissa,Roberts,Melissa Roberts,99,71,80,82,95,64,64
215,Tammy,Miller,Tammy Miller,84,62,92,74,73,98,91
216,Chad,Morgan,Chad Morgan,100,90,82,79,94,83,78
217,Samantha,Maldonado,Samantha Maldonado,82,71,93,90,90,76,97
218,Marie,Martin,Marie Martin,75,88,65,80,76,94,97
219,Theresa,Tucker,Theresa Tucker,66,71,94,72,96,70,63
220,Joseph,Morris,Joseph Morris,99,88,72,76,68,92,72
221,Charles,Parker,Charles Parker,99,76,94,88,75,66,84
222,Rachel,Alvarez,Rachel Alvarez,95,87,79,95,84,90,74
223,Charles,Robertson,Charles Robertson,99,61,75,68,66,90,99
224,Steven,York,Steven York,65,72,96,69,78,93,72
225,Robert,Dougherty,Robert Dougherty,85,55,74,71,66,50,99
226,Vanessa,Wheeler,Vanessa Wheeler,69,78,57,72,71,96,87
227,Emily,Mcclure,Emily Mcclure,75,76,88,65,97,83,85
228,Angela,Thomas,Angela Thomas,91,78,72,69,77,91,96
229,Roberto,Evans,Roberto Evans,92,95,61,98,89,85,80
230,Christopher,Perez,Christopher Perez,62,64,65,86,67,94,68
231,William,Torres,William Torres,87,91,98,94,100,87,89
232,Lisa,Gardner,Lisa Gardner,97,88,87,61,86,92,94
233,Catherine,Owens,Catherine Owens,97,92,79,88,92,99,85
234,Keith,Summers,Keith Summers,98,88,92,84,90,90,71
235,Linda,Adams,Linda Adams,96,67,88,95,82,75,84
236,Michael,Wright,Michael Wright,98,89,81,56,72,74,94
237,Kyle,James,Kyle James,87,82,95,81,85,84,73
238,Christopher,Cook,Christopher Cook,96,80,86,94,63,72,75
239,John,Conley,John Conley,82,74,77,95,81,76,91
240,David,Barnett,David Barnett,100,72,99,64,70,93,67
241,Peter,Garner,Peter Garner,91,81,91,76,100,92,87
242,Douglas,Stewart,Douglas Stewart,87,62,85,64,63,61,85
243,Heidi,Jones,Heidi Jones,75,95,84,87,78,82,86
244,Jeremy,Daniels,Jeremy Daniels,86,78,61,71,94,92,65
245,Dustin,Dodson,Dustin Dodson,94,62,97,96,74,68,69
246,Christopher,Cohen,Christopher Cohen,99,64,92,78,30,78,88
247,Willie,Ellis,Willie Ellis,84,91,94,66,78,71,93
248,Robert,Hawkins,Robert Hawkins,92,81,68,96,99,92,79
249,Stacy,Jordan,Stacy Jordan,95,84,95,72,62,80,83
250,Robert,Swanson,Robert Swanson,90,88,94,99,92,87,97
251,Holly,Henderson,Holly Henderson,93,100,87,66,85,96,87
252,Debra,Valdez,Debra Valdez,69,63,88,73,83,74,94
253,Vincent,Robertson,Vincent Robertson,97,80,80,65,91,67,84
254,Karen,Spencer,Karen Spencer,76,72,80,92,41,90,78
255,Nathan,Riley,Nathan Riley,85,85,92,86,99,86,93
256,Andrea,Sutton,Andrea Sutton,91,87,89,97,93,87,100
257,Tracey,Turner,Tracey Turner,82,95,92,62,73,75,93
258,Tammy,Olsen,Tammy Olsen,59,56,87,97,62,74,61
259,Sheila,Wilkinson,Sheila Wilkinson,78,71,73,51,80,84,65
260,Nathan,Padilla,Nathan Padilla,89,65,82,65,76,95,62
261,Sarah,Santiago,Sarah Santiago,86,91,92,96,90,96,90
262,Christopher,Cruz,Christopher Cruz,76,93,65,95,76,88,88
263,Nicholas,Sanders,Nicholas Sanders,79,68,63,72,81,67,67
264,Jessica,Waters,Jessica Waters,91,96,77,76,80,97,80
265,James,Miller,James Miller,89,66,80,77,60,88,74
266,Adam,Kane,Adam Kane,97,94,81,97,79,86,63
267,Patricia,Gonzalez,Patricia Gonzalez,100,86,74,96,80,99,76
268,Whitney,Holmes,Whitney Holmes,96,68,87,96,91,68,65
269,Rachel,Hamilton,Rachel Hamilton,94,64,100,71,84,92,99
270,Melissa,Marshall,Melissa Marshall,98,68,80,75,80,81,60
271,Jacob,Henderson,Jacob Henderson,53,71,98,95,94,71,77
272,Melissa,Huerta,Melissa Huerta,44,64,58,66,87,62,68
273,Kevin,Camacho,Kevin Camacho,85,70,73,95,100,70,94
274,Anthony,Martinez,Anthony Martinez,51,91,67,79,58,52,75
275,Randy,Rodriguez,Randy Rodriguez,90,89,82,74,67,92,82
276,Patrick,Vazquez,Patrick Vazquez,100,92,90,66,73,68,70
277,Kim,Flores,Kim Flores,95,73,61,91,84,92,94
278,Robert,Salazar,Robert Salazar,76,81,96,74,75,80,98
279,Victoria,Vasquez,Victoria Vasquez,71,98,96,60,90,79,72
280,Ricardo,Macias,Ricardo Macias,95,60,87,71,91,84,98
281,Brandi,Bauer,Brandi Bauer,92,88,76,93,69,75,97
282,Jorge,Roth,Jorge Roth,82,95,96,100,89,64,91
283,Benjamin,Davis,Benjamin Davis,85,94,83,76,77,81,92
284,Nancy,Pierce,Nancy Pierce,82,85,75,92,76,95,85
285,Catherine,Weiss,Catherine Weiss,98,77,94,63,69,88,100
286,Jacob,Perez,Jacob Perez,93,96,94,84,91,67,68
287,Penny,Zuniga,Penny Zuniga,84,97,60,100,83,88,94
288,Anthony,Cox,Anthony Cox,81,95,76,60,61,98,77
289,Angela,Nelson,Angela Nelson,62,64,84,67,78,51,62
290,Lisa,White,Lisa White,92,70,60,94,87,90,86
291,Robin,Parker,Robin Parker,64,93,61,61,74,94,64
292,Cynthia,Shields,Cynthia Shields,89,67,97,67,75,94,93
293,Pamela,Wilkinson,Pamela Wilkinson,99,88,84,87,36,96,86
294,Brenda,Nichols,Brenda Nichols,95,82,93,99,66,93,86
295,Laura,Rodriguez,Laura Rodriguez,72,92,67,100,70,94,81
296,Julie,Carey,Julie Carey,68,89,68,90,68,99,74
297,Barbara,Andrews,Barbara Andrews,92,69,78,68,70,80,73
298,Tracy,Johnson,Tracy Johnson,97,74,97,60,65,90,97
299,Sarah,Oconnor,Sarah Oconnor,81,92,94,77,84,63,64
300,Joseph,Landry,Joseph Landry,88,60,81,85,87,90,76
301,Terry,Chen,Terry Chen,76,82,70,72,78,60,81
302,Heather,Faulkner,Heather Faulkner,77,62,97,82,74,98,95
303,Wanda,Baxter,Wanda Baxter,89,81,99,71,67,74,89
304,Amanda,Davis,Amanda Davis,65,69,66,65,90,76,60
305,Gina,Powell,Gina Powell,82,55,76,63,70,61,60
306,Sabrina,Hall,Sabrina Hall,77,60,61,91,62,78,91
307,Lauren,Miller,Lauren Miller,66,70,88,70,62,70,75
308,Jessica,Diaz,Jessica Diaz,90,96,100,87,100,90,89
309,Ashley,Garcia,Ashley Garcia,73,87,90,96,61,61,76
310,Miranda,Johnson,Miranda Johnson,89,64,74,97,95,77,88
311,Tracy,Johnston,Tracy Johnston,72,55,54,62,75,79,96
312,Erik,Butler,Erik Butler,87,90,89,88,93,87,70
313,Tiffany,Jones,Tiffany Jones,75,98,96,85,81,69,90
314,Brandy,Campbell,Brandy Campbell,80,85,98,99,92,70,96
315,Joel,Hicks,Joel Hicks,85,87,87,90,91,91,99
316,John,Miller,John Miller,92,93,74,76,79,65,74
317,Nancy,Jones,Nancy Jones,63,60,92,88,90,68,100
318,Jody,Mueller,Jody Mueller,99,99,87,80,89,78,87
319,Steven,Fox,Steven Fox,87,88,51,96,77,71,61
320,Taylor,Klein,Taylor Klein,87,84,62,76,89,83,93
321,David,Barron,David Barron,90,75,71,64,97,89,88
322,Kevin,Thompson,Kevin Thompson,94,83,99,100,94,91,69
323,Andrea,Walters,Andrea Walters,86,76,81,83,81,70,65
324,David,Wright,David Wright,96,81,95,78,79,65,86
325,Anthony,Oconnor,Anthony Oconnor,75,69,85,73,79,93,74
326,Laura,Miller,Laura Miller,74,92,81,79,74,85,86
327,Steven,Barrett,Steven Barrett,96,91,96,69,70,99,70
328,Miranda,Ruiz,Miranda Ruiz,79,77,62,98,76,99,82
329,Matthew,Anderson,Matthew Anderson,70,88,60,68,66,82,60
330,Kenneth,Flores,Kenneth Flores,79,91,62,87,80,65,94
331,Sydney,Johnson,Sydney Johnson,91,65,86,66,88,85,60
332,Carla,Lewis,Carla Lewis,90,72,78,61,78,88,74
333,Jeffrey,Shannon,Jeffrey Shannon,87,100,86,60,80,78,96
334,Angela,Park,Angela Park,69,99,78,85,98,86,73
335,Brandon,Smith,Brandon Smith,66,99,50,62,97,60,84
336,Kenneth,Moody,Kenneth Moody,65,95,78,65,74,69,63
337,Scott,Hughes,Scott Hughes,83,81,88,82,97,83,74
338,Cody,Jimenez,Cody Jimenez,100,89,95,63,67,92,75
339,Allen,Farmer,Allen Farmer,85,70,78,66,69,62,100
340,James,Young,James Young,45,98,95,66,84,83,100
341,Laura,Dawson,Laura Dawson,73,75,94,82,71,90,75
342,Donald,Carson,Donald Carson,95,83,96,97,72,77,61
343,Wayne,Lane,Wayne Lane,96,95,61,72,71,83,96
344,Robert,Johnson,Robert Johnson,94,72,96,93,93,79,64
345,Melissa,Le,Melissa Le,92,69,69,60,90,88,95
346,David,Rice,David Rice,56,52,76,95,54,59,85
347,Dawn,Gomez,Dawn Gomez,85,74,65,76,100,95,68
348,Ricky,Nichols,Ricky Nichols,65,90,68,99,74,82,86
349,Henry,Pitts,Henry Pitts,64,81,95,87,86,91,80
350,Christopher,Price,Christopher Price,100,88,94,67,62,66,96
351,Aimee,Adams,Aimee Adams,76,64,64,60,75,92,61
352,Tammy,Barry,Tammy Barry,97,76,91,76,89,60,85
353,Ryan,Hull,Ryan Hull,95,98,98,83,77,93,83
354,Samuel,Jackson,Samuel Jackson,85,64,90,94,68,97,61
355,Joshua,Smith,Joshua Smith,86,91,96,60,91,73,88
356,Sydney,Stevenson,Sydney Stevenson,100,58,58,100,60,52,82
357,Christopher,Rios,Christopher Rios,65,77,66,100,88,77,62
358,Brenda,Collins,Brenda Collins,71,81,99,74,74,82,67
359,Diana,Griffin,Diana Griffin,80,94,97,83,84,77,79
360,Gary,Gray,Gary Gray,91,76,96,77,99,64,83
361,Kimberly,Torres,Kimberly Torres,91,87,88,82,95,70,87
362,Jeffrey,Booker,Jeffrey Booker,100,86,81,100,66,98,97
363,Nicole,Buchanan,Nicole Buchanan,92,79,71,65,99,91,98
364,Kristin,Johnson,Kristin Johnson,89,76,95,83,84,96,61
365,Emily,Bell,Emily Bell,93,92,92,76,49,93,75
366,Francis,Nelson,Francis Nelson,81,64,67,74,65,94,96
367,Tracy,Harris,Tracy Harris,70,73,70,67,96,86,89
368,Sheila,Sosa,Sheila Sosa,61,70,89,97,60,79,79
369,Ashley,Mendez,Ashley Mendez,62,53,78,77,59,95,80
370,Matthew,Griffin,Matthew Griffin,83,61,79,99,66,60,76
371,Timothy,Mann,Timothy Mann,85,96,87,63,69,69,81
372,Christine,Foster,Christine Foster,83,55,87,74,73,77,61
373,Julie,Yates,Julie Yates,73,95,54,94,99,58,94
374,William,Ballard,William Ballard,61,65,73,78,77,97,96
375,Kristen,Adams,Kristen Adams,77,72,81,63,69,73,80
376,Chelsea,Mitchell,Chelsea Mitchell,77,87,65,91,71,90,90
377,Patrick,Everett,Patrick Everett,99,94,94,62,68,79,68
378,Carla,Parker,Carla Parker,73,69,94,78,76,63,71
379,Casey,Galvan,Casey Galvan,95,89,96,89,60,99,93
380,Eric,Moran,Eric Moran,94,79,92,100,93,63,98
381,Tabitha,Hudson,Tabitha Hudson,75,83,85,65,76,94,60
382,Lance,Salazar,Lance Salazar,66,83,77,91,84,74,62
383,Melissa,Williamson,Melissa Williamson,91,79,89,74,79,74,61
384,James,Castro,James Castro,81,61,75,65,90,92,80
385,Joseph,Johnson,Joseph Johnson,71,69,69,67,70,78,66
386,Gene,Woodward,Gene Woodward,77,94,97,77,63,98,98
387,Patricia,Watson,Patricia Watson,91,87,93,85,98,85,95
388,John,Carey,John Carey,83,98,100,93,100,77,76
389,Sara,Cochran,Sara Cochran,75,51,70,84,66,64,88
390,Jamie,Suarez,Jamie Suarez,86,96,68,71,86,94,89
391,Steven,Frazier,Steven Frazier,86,88,89,89,98,89,96
392,Nicholas,Hart,Nicholas Hart,85,67,60,82,77,72,72
393,Cheryl,Arias,Cheryl Arias,62,81,80,88,78,94,85
394,Marc,Brock,Marc Brock,100,65,67,61,76,58,84
395,Timothy,Perez,Timothy Perez,79,86,97,60,66,74,96
396,Courtney,Rodriguez,Courtney Rodriguez,99,97,68,85,86,85,73
397,Samantha,Clark,Samantha Clark,46,65,97,100,56,73,95
398,Francisco,Reilly,Francisco Reilly,85,97,88,61,80,80,84
399,Denise,Young,Denise Young,85,68,89,64,79,66,66
400,Darrell,Williams,Darrell Williams,85,87,91,63,95,88,62
401,Andrew,Smith,Andrew Smith,99,86,90,100,96,77,60
402,Teresa,Stafford,Teresa Stafford,84,92,63,91,89,92,76
403,Cory,Harris,Cory Harris,85,72,87,72,68,85,78
404,Douglas,Irwin,Douglas Irwin,100,79,92,92,67,68,72
405,Deborah,Miller,Deborah Miller,86,61,68,91,60,86,62
406,Autumn,Hernandez,Autumn Hernandez,79,70,71,95,79,77,68
407,Paul,Serrano,Paul Serrano,76,82,76,71,70,89,76
408,Matthew,Griffin,Matthew Griffin,96,63,69,67,69,92,77
409,Evan,Holmes,Evan Holmes,100,77,75,74,80,94,74
410,Cynthia,Baker,Cynthia Baker,88,84,87,97,94,87,85
411,Sandra,Melendez,Sandra Melendez,96,76,98,89,93,85,75
412,Claudia,Munoz,Claudia Munoz,92,66,96,71,87,89,61
413,Christopher,Nguyen,Christopher Nguyen,87,93,99,100,97,92,90
414,David,Jennings,David Jennings,95,82,74,87,36,61,88
